,
City,Link
Albany,https://ecode360.com/7679747#7679747
Amsterdam,https://ecode360.com/8067006#8067006
Auburn,https://ecode360.com/8966535#8966535
Batavia,https://ecode360.com/12064964#12064964
Beacon,https://ecode360.com/12065540#12065540
Binghamton,https://www.binghamton-ny.gov/home/showpublisheddocument/8674/638397738205830000
Buffalo,https://ecode360.com/13551020#13551020
Canandaigua,https://ecode360.com/12052039#12052039
Cohoes,https://ecode360.com/9219050#9219050
Corning,https://ecode360.com/13221376#13221376
Cortland,https://ecode360.com/13635722#13635722
Dunkirk,https://cms9files.revize.com/dunkirkny/Document%20Center/Department/Law/City%20Charter/Article-IV-updated-02-01-09.pdf
Elmira,https://cms9files.revize.com/dunkirkny/Document%20Center/Department/Law/City%20Charter/Article-II-updated-02-01-09.pdf
Fulton,https://ecode360.com/14867772#14867772
Geneva,https://cityofgenevany.com/DocumentCenter/View/311/City-Charter-PDF?bidId=
Glen Cove,https://ecode360.com/12098042#12098042
Glens Falls,https://ecode360.com/14420020#14420020
Gloversville,https://ecode360.com/11495287#11495287
Hornell,https://ecode360.com/HO1346
Hudson,https://ecode360.com/HU0410
Ithaca,https://ecode360.com/IT1348
Jamestown,https://ecode360.com/JA1371
Johnstown,https://ecode360.com/JO0834
Kingston,https://ecode360.com/KI0280
Lackawanna,https://ecode360.com/LA1978
Little Falls,https://thisislittlefalls.com/services/
Lockport,https://ecode360.com/LO0777
Long Beach,https://www.longbeachny.gov/vertical/sites/%7BC3C1054A-3D3A-41B3-8896-814D00B86D2A%7D/uploads/Long_Beach_Code_of_Ordinances_Sup_84(1).pdf
Mechanicville,https://www.mechanicvilleny.gov/sites/g/files/vyhlif6716/f/uploads/17.12.19_final_code_charter_201803221306033634.pdf
Middletown,https://ecode360.com/MI0232
Mount Vernon,https://ecode360.com/MO0742
New Rochelle,https://ecode360.com/NE0964
New York City,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1
Newburgh,https://ecode360.com/15609555#15609555
Niagara Falls,https://ecode360.com/NI0431
North Tonawanda,https://ecode360.com/NO0216
Norwich,https://ecode360.com/NO0235
Ogdensburg,https://ecode360.com/OG1342
Olean,https://ecode360.com/OL2074
Oneida,https://ecode360.com/ON1850
Oneonta,https://ecode360.com/ON1737
Oswego,https://ecode360.com/OS0092
Peekskill,https://ecode360.com/PE0161
Plattsburgh,https://ecode360.com/PL0920
Port Jervis,https://ecode360.com/PO0478
Poughkeepsie,https://ecode360.com/29219498#29219498
Rensselaer,https://ecode360.com/RE1014
Rochester,https://ecode360.com/28971406#28971406
Rome,https://library.municode.com/ny/rome/codes/charter?nodeId=PTICHLA_ARTIVGEPOPOCO
Rye,https://ecode360.com/13345393#13345393
Salamanca,https://www.salmun.com/city-charter.html
Saratoga Springs,https://ecode360.com/27984272?highlight=council&searchId=21086753649263478
Schenectady,https://ecode360.com/8685140#8685140
Sherrill,https://sherrillny.org/wp-content/uploads/2012/06/City-Charter.pdf
Syracuse,https://library.municode.com/ny/syracuse/codes/code_of_ordinances?nodeId=PTCCHSY1960_ARTIIITHCOCO
Tonawanda,https://library.municode.com/ny/tonawanda/codes/code_of_ordinances?nodeId=PTICH_ARTIIGOAU_DIV3COCO_S2.041ELTEQUCO
Troy,https://ecode360.com/32050587#32050587
Utica,https://ecode360.com/14003323#14003323
Watertown,https://ecode360.com/10496145#10496145
Watervliet,https://ecode360.com/11988985#11988985
White Plains,https://library.municode.com/ny/white_plains/codes/code_of_ordinances?nodeId=CH_ARTIIITHCOCO
